	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
P111	-2.0204	0.2958	0.9052	0.5856	-0.5093	0.5982	0.3253	-0.027	2.5918	-1.0559	-0.6319	0.3727	0.6479	-0.7309	-0.8617	-0.5028
P112	-2.0284	0.383	0.8803	0.6345	-0.5129	0.5055	0.2881	-0.1136	2.5969	-1.0494	-0.6206	0.3356	0.7238	-0.691	-0.8529	-0.4963
P113	-2.0284	0.342	0.905	0.605	-0.5346	0.5487	0.2812	-0.077	2.598	-1.0299	-0.6252	0.3763	0.6842	-0.707	-0.8465	-0.5088
P114	-2.0261	0.2767	0.9146	0.5662	-0.5423	0.636	0.3016	-0.0215	2.6002	-1.0223	-0.6134	0.3886	0.6249	-0.73	-0.8458	-0.5239
P115	-1.9948	0.3311	0.8815	0.5498	-0.502	0.606	0.3423	-0.0549	2.6096	-1.0873	-0.6272	0.3351	0.6713	-0.7451	-0.8639	-0.4693
P116	-2.0173	0.2879	0.8969	0.567	-0.4971	0.603	0.338	-0.0432	2.5889	-1.0685	-0.6689	0.3871	0.6735	-0.7269	-0.8326	-0.5055
P117	-2.0246	0.3433	0.8593	0.6199	-0.5068	0.5872	0.3061	-0.0592	2.6062	-1.0492	-0.6042	0.3421	0.653	-0.7457	-0.8663	-0.4782
P118	-2.0353	0.3448	0.8714	0.627	-0.5161	0.5993	0.2961	-0.066	2.5964	-1.0444	-0.5955	0.3485	0.6428	-0.7367	-0.859	-0.4904
P119	-1.9835	0.3713	0.9809	0.5494	-0.5514	0.6028	0.3274	-0.0596	2.563	-1.1344	-0.5665	0.3435	0.6436	-0.733	-0.8757	-0.4973
P120	-2.0289	0.2908	0.8783	0.6008	-0.5264	0.6219	0.2968	-0.0258	2.6048	-1.0183	-0.6226	0.3791	0.6356	-0.7418	-0.8474	-0.513
P121	-1.9968	0.281	0.9952	0.5311	-0.5396	0.6023	0.3568	-0.0002	2.5847	-1.0802	-0.583	0.3677	0.5894	-0.7141	-0.9067	-0.5056
P122	-2.0256	0.3061	0.868	0.5965	-0.4962	0.5947	0.3371	-0.0355	2.6128	-1.0483	-0.604	0.3275	0.6411	-0.7388	-0.8857	-0.4669
