Target ID	Target name	TF list
ENSG00000118523	CTGF	ENSG00000134954;ENSG00000151702;ENSG00000100644;ENSG00000177606;ENSG00000185591;ENSG00000168610;ENSG00000184937;
ENSG00000163599	CTLA4	ENSG00000138795;ENSG00000178860;
ENSG00000168036	CTNNB1	ENSG00000169083;ENSG00000091831;ENSG00000138795;ENSG00000183072;ENSG00000110693;ENSG00000148737;ENSG00000141510;ENSG00000172466;
ENSG00000171793	CTPS1	ENSG00000122691;ENSG00000233608;
ENSG00000164733	CTSB	ENSG00000134954;ENSG00000109320;ENSG00000173039;ENSG00000185591;ENSG00000172845;ENSG00000115415;ENSG00000158773;ENSG00000105698;
ENSG00000117984	CTSD	ENSG00000143437;ENSG00000091831;ENSG00000140009;ENSG00000134323;ENSG00000072736;ENSG00000141510;ENSG00000158773;ENSG00000105698;
ENSG00000274286	ADRA2B	ENSG00000185591;ENSG00000166888;ENSG00000137203;
ENSG00000100448	CTSG	ENSG00000092067;ENSG00000118513;ENSG00000066336;
ENSG00000143387	CTSK	ENSG00000187098;ENSG00000066336;
ENSG00000135047	CTSL	ENSG00000177606;ENSG00000185591;ENSG00000172845;ENSG00000115415;
ENSG00000136943	CTSV	ENSG00000101412;
ENSG00000163131	CTSS	ENSG00000066336;
ENSG00000257923	CUX1	ENSG00000101412;ENSG00000007968;ENSG00000112242;ENSG00000205250;
ENSG00000154639	CXADR	ENSG00000124216;ENSG00000019549;ENSG00000185591;ENSG00000148516;ENSG00000169554;
ENSG00000138670	RASGEF1B	ENSG00000101412;
ENSG00000165168	CYBB	ENSG00000257923;ENSG00000120690;ENSG00000102145;ENSG00000179348;ENSG00000125347;ENSG00000140968;ENSG00000182568;ENSG00000066336;ENSG00000066336;
ENSG00000179091	CYC1	ENSG00000169016;
ENSG00000083799	CYLD	ENSG00000138795;ENSG00000138795;
ENSG00000140465	CYP1A1	ENSG00000106546;ENSG00000106546;ENSG00000106546;ENSG00000143437;ENSG00000143437;ENSG00000091831;ENSG00000136826;ENSG00000141905;ENSG00000109320;ENSG00000186951;ENSG00000131759;ENSG00000173039;ENSG00000158773;ENSG00000111424;
ENSG00000140505	CYP1A2	ENSG00000106546;ENSG00000170345;ENSG00000135100;ENSG00000177606;
ENSG00000138061	CYP1B1	ENSG00000106546;ENSG00000106546;ENSG00000143437;ENSG00000143437;ENSG00000091831;ENSG00000185591;
ENSG00000255974	CYP2A6	ENSG00000001167;
ENSG00000188778	ADRB3	ENSG00000185591;
